code_bytes,code_files,language,languages,marker_hits,py_files,reason,repo,repo_url,size_kb,stars,violations,vuln_count_bare_except,vuln_count_debug,vuln_count_insecure_hash,vuln_count_no_exec_shell,vuln_count_no_hardcoded,vuln_count_no_network,vuln_count_sql
1928235,167,,"{""Shell"": 76, ""C"": 44, ""C/C++"": 42, ""SQL"": 5}",CLAUDE.md,0,CLAUDE.md,coturn/coturn,https://github.com/coturn/coturn,0,0,94,0,0,0,0,8,2,84
10999702,903,,"{""TypeScript"": 743, ""Rust"": 151, ""JavaScript"": 7, ""Shell"": 2}",CLAUDE.md,0,CLAUDE.md,kimlimjustin/xplorer,https://github.com/kimlimjustin/xplorer,0,0,121,1,0,0,29,3,58,30
1179882,337,,"{""JavaScript"": 337}",none,0,CLAUDE.md,josstei/maestro-orchestrate,https://github.com/josstei/maestro-orchestrate,0,0,10,3,0,0,4,0,0,3
4370435,19,,"{""JavaScript"": 17, ""Ruby"": 2}",CLAUDE.md,0,CLAUDE.md,tw93/tw93.github.io,https://github.com/tw93/tw93.github.io,0,0,33,9,0,0,9,0,4,11
6727955,356,,"{""TypeScript"": 275, ""JavaScript"": 80, ""Shell"": 1}",CLAUDE.md,0,CLAUDE.md,stripe/stripe-node,https://github.com/stripe/stripe-node,0,0,19,0,0,0,7,9,3,0
114681,33,,"{""Shell"": 15, ""Python"": 12, ""JavaScript"": 6}",none,12,CLAUDE.md,Rx782-Fss/claude-howto-zh,https://github.com/Rx782-Fss/claude-howto-zh,0,0,0,0,0,0,0,0,0,0
62501,8,,"{""Rust"": 8}",claude.md,0,CLAUDE.md,marcomq/mq-bridge-mcp,https://github.com/marcomq/mq-bridge-mcp,0,0,0,0,0,0,0,0,0,0
405365,65,,"{""Python"": 42, ""Shell"": 17, ""TypeScript"": 6}",none,42,CLAUDE.md,angrybeagles/weather-dashboard,https://github.com/angrybeagles/weather-dashboard,0,0,58,2,0,0,7,0,48,1
919916,64,,"{""Python"": 64}",none,64,CLAUDE.md,tomato-hida/predictive-agency-simulator,https://github.com/tomato-hida/predictive-agency-simulator,0,0,365,15,0,0,12,0,338,0
804596,127,,"{""Shell"": 124, ""Python"": 3}",CLAUDE.md;AGENTS.md,3,CLAUDE.md,corca-ai/claude-plugins,https://github.com/corca-ai/claude-plugins,0,0,48,0,0,0,3,3,40,2
265193,7,,"{""Shell"": 3, ""JavaScript"": 3, ""Ruby"": 1}",none,0,CLAUDE.md,sauravtom/sauravtom.github.io,https://github.com/sauravtom/sauravtom.github.io,0,0,7,2,0,0,3,0,0,2
485269,86,,"{""TypeScript"": 84, ""JavaScript"": 2}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,adamreynolds-io/gsd-wallet,https://github.com/adamreynolds-io/gsd-wallet,0,0,11,0,0,0,0,0,7,4
64968,33,,"{""TypeScript"": 22, ""JavaScript"": 11}",none,0,CLAUDE.md,kuatroka/prompt_school,https://github.com/kuatroka/prompt_school,0,0,12,0,0,0,4,0,8,0
1002264,66,,"{""Python"": 51, ""PowerShell"": 8, ""Shell"": 7}",none,51,CLAUDE.md,teddashh/clawd-lobster,https://github.com/teddashh/clawd-lobster,0,0,172,38,0,0,40,0,71,23
41364,17,,"{""Rust"": 13, ""Kotlin"": 2, ""PowerShell"": 1, ""Shell"": 1}",none,0,CLAUDE.md,unnamed00bas/mish-ka,https://github.com/unnamed00bas/mish-ka,0,0,0,0,0,0,0,0,0,0
68281,14,,"{""TypeScript"": 8, ""Shell"": 3, ""Python"": 1, ""JavaScript"": 1, ""Rust"": 1}",CLAUDE.md;AGENTS.md,1,CLAUDE.md,hon-gyu/oyster,https://github.com/hon-gyu/oyster,0,0,0,0,0,0,0,0,0,0
7095884,850,,"{""Java"": 714, ""TypeScript"": 63, ""Python"": 35, ""JavaScript"": 30, ""Shell"": 4, ""SQL"": 4}",claude.md,35,CLAUDE.md,riyaz-pasha/Learnings,https://github.com/riyaz-pasha/Learnings,0,0,76,4,0,0,1,0,16,55
17520,5,,"{""Shell"": 3, ""JavaScript"": 2}",CLAUDE.md,0,CLAUDE.md,o2alexanderfedin/vibe-playground,https://github.com/o2alexanderfedin/vibe-playground,0,0,0,0,0,0,0,0,0,0
44869,18,,"{""Python"": 18}",CLAUDE.md,18,CLAUDE.md,Cocoon-AI/keycloak-cocoon-ai,https://github.com/Cocoon-AI/keycloak-cocoon-ai,0,0,4,0,0,0,0,4,0,0
73980,11,,"{""Go"": 11}",CLAUDE.md,0,CLAUDE.md,lukaskurz/brainchair,https://github.com/lukaskurz/brainchair,0,0,12,0,0,0,1,0,0,11
450240,81,,"{""Swift"": 76, ""Shell"": 5}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,jenksed/roleforge,https://github.com/jenksed/roleforge,0,0,5,0,0,0,0,0,4,1
813138,91,,"{""Python"": 64, ""Shell"": 23, ""JavaScript"": 4}",CLAUDE.md,64,CLAUDE.md,lostmind008/contextkeeper-v3,https://github.com/lostmind008/contextkeeper-v3,0,0,104,10,0,0,4,1,89,0
1936599,156,,"{""Python"": 91, ""JavaScript"": 33, ""Shell"": 32}",CLAUDE.md;AGENTS.md,91,CLAUDE.md,joshuachen3333/strong_number_embedding,https://github.com/joshuachen3333/strong_number_embedding,0,0,367,9,0,0,35,0,318,5
55405,11,,"{""JavaScript"": 11}",CLAUDE.md,0,CLAUDE.md,syedibrahimt/realtime-agents,https://github.com/syedibrahimt/realtime-agents,0,0,1,0,0,0,0,0,1,0
275753,38,,"{""Python"": 38}",CLAUDE.md;agents.md,38,CLAUDE.md,D000yxdyx/physics,https://github.com/D000yxdyx/physics,0,0,3,0,0,0,1,0,0,2
1268662,222,,"{""TypeScript"": 216, ""Shell"": 3, ""SQL"": 2, ""JavaScript"": 1}",CLAUDE.md,0,CLAUDE.md,AloisH/bistro,https://github.com/AloisH/bistro,0,0,34,0,0,0,0,18,14,2
810045,195,,"{""Go"": 180, ""JavaScript"": 9, ""Shell"": 3, ""Python"": 2, ""TypeScript"": 1}",CLAUDE.md,2,CLAUDE.md,zigflow/zigflow,https://github.com/zigflow/zigflow,0,0,70,0,0,0,67,2,1,0
107996,10,,"{""Python"": 9, ""PowerShell"": 1}",CLAUDE.md,9,CLAUDE.md,travisrwn1-collab/AIU,https://github.com/travisrwn1-collab/AIU,0,0,2,0,0,0,2,0,0,0
272094,23,,"{""Python"": 22, ""JavaScript"": 1}",CLAUDE.md;AGENTS.md,22,CLAUDE.md,davidrd123/bildung-2.0,https://github.com/davidrd123/bildung-2.0,0,0,14,4,0,0,8,0,2,0
5577553,510,,"{""Python"": 412, ""JavaScript"": 45, ""Shell"": 31, ""TypeScript"": 21, ""Ruby"": 1}",CLAUDE.md,412,CLAUDE.md,Abilityai/trinity,https://github.com/Abilityai/trinity,0,0,1981,74,1,0,139,146,1469,149
208667,25,,"{""Python"": 20, ""Shell"": 5}",CLAUDE.md,20,CLAUDE.md,brendanbank/dyndns-route53,https://github.com/brendanbank/dyndns-route53,0,0,88,1,0,0,0,7,29,51
461923,76,,"{""Python"": 66, ""JavaScript"": 9, ""Shell"": 1}",CLAUDE.md,66,CLAUDE.md,HelloJamong/study-dashboard,https://github.com/HelloJamong/study-dashboard,0,0,49,25,3,0,1,5,15,0
123776,14,,"{""TypeScript"": 14}",CLAUDE.md,0,CLAUDE.md,riccardo-larosa/dcbo-mcp-server,https://github.com/riccardo-larosa/dcbo-mcp-server,0,0,10,0,0,0,0,3,7,0
125379,15,,"{""Python"": 15}",CLAUDE.md,15,CLAUDE.md,umbrae/starbattlecv,https://github.com/umbrae/starbattlecv,0,0,1,0,1,0,0,0,0,0
1818708,97,,"{""TypeScript"": 79, ""JavaScript"": 15, ""SQL"": 3}",CLAUDE.md,0,CLAUDE.md,workmani/vacation-requests,https://github.com/workmani/vacation-requests,0,0,81,0,0,0,17,8,10,46
58776,9,,"{""Python"": 9}",CLAUDE.md,9,CLAUDE.md,S1ro1/dp-data-pipeline,https://github.com/S1ro1/dp-data-pipeline,0,0,0,0,0,0,0,0,0,0
194840,10,,"{""Python"": 10}",CLAUDE.md;AGENTS.md,10,CLAUDE.md,RuneBlaze/projpiece,https://github.com/RuneBlaze/projpiece,0,0,15,3,0,0,0,1,0,2
39544,5,,"{""Shell"": 3, ""JavaScript"": 1, ""TypeScript"": 1}",CLAUDE.md,0,CLAUDE.md,mockdeep/claude-session-tracker,https://github.com/mockdeep/claude-session-tracker,0,0,4,4,0,0,0,0,0,0
34633,5,,"{""JavaScript"": 5}",CLAUDE.md,0,CLAUDE.md,TMR1905/Portfolio_Website,https://github.com/TMR1905/Portfolio_Website,0,0,0,0,0,0,0,0,0,0
786434,68,,"{""Python"": 66, ""JavaScript"": 2}",CLAUDE.md;AGENTS.md,66,CLAUDE.md,christianmillar31/amc-support-chatbot,https://github.com/christianmillar31/amc-support-chatbot,0,0,50,10,0,0,9,0,29,2
81989,13,,"{""Python"": 13}",CLAUDE.md,13,CLAUDE.md,jxcross/english-practice-streamlit,https://github.com/jxcross/english-practice-streamlit,0,0,16,1,0,0,0,0,14,1
95876,11,,"{""Python"": 11}",CLAUDE.md,11,CLAUDE.md,otsukanaaaa/agents-orchestrator-workflow,https://github.com/otsukanaaaa/agents-orchestrator-workflow,0,0,2,2,0,0,0,0,0,0
406018,66,,"{""Python"": 66}",CLAUDE.md,66,CLAUDE.md,Pranamya16/AgentMorph,https://github.com/Pranamya16/AgentMorph,0,0,10,7,0,0,1,2,0,0
132422,8,,"{""JavaScript"": 8}",CLAUDE.md,0,CLAUDE.md,wetwilliam/claude_extension,https://github.com/wetwilliam/claude_extension,0,0,5,2,1,0,0,0,2,0
2099128,175,,"{""Python"": 90, ""JavaScript"": 56, ""SQL"": 23, ""TypeScript"": 6}",CLAUDE.md,90,CLAUDE.md,Jollyhrothgar/Bluegrass-Songbook,https://github.com/Jollyhrothgar/Bluegrass-Songbook,0,0,137,7,0,0,29,0,83,18
354593,36,,"{""Python"": 29, ""Shell"": 4, ""SQL"": 3}",CLAUDE.md,29,CLAUDE.md,datasci-iopsy/dkg-phd-thesis,https://github.com/datasci-iopsy/dkg-phd-thesis,0,0,15,0,0,0,10,0,1,4
1484990,541,,"{""Python"": 440, ""Shell"": 64, ""JavaScript"": 36, ""SQL"": 1}",CLAUDE.md,440,CLAUDE.md,ajslater/codex,https://github.com/ajslater/codex,0,0,51,0,0,0,4,0,19,28
2582262,310,,"{""Python"": 196, ""Shell"": 75, ""JavaScript"": 29, ""PHP"": 8, ""SQL"": 2}",CLAUDE.md,196,CLAUDE.md,BigBeardWebSolutions/4_bbws_webdev_workspace,https://github.com/BigBeardWebSolutions/4_bbws_webdev_workspace,0,0,217,8,3,0,12,0,137,57
411224,39,,"{""Rust"": 38, ""Shell"": 1}",CLAUDE.md,0,CLAUDE.md,idossha/lazyclaude,https://github.com/idossha/lazyclaude,0,0,0,0,0,0,0,0,0,0
514746,119,,"{""Shell"": 66, ""PHP"": 39, ""SQL"": 6, ""Ruby"": 6, ""C"": 2}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,ScriptonBasestar-containers/sb-docker-images,https://github.com/ScriptonBasestar-containers/sb-docker-images,0,0,9,0,0,0,2,4,0,3
3078633,925,,"{""TypeScript"": 921, ""JavaScript"": 3, ""Shell"": 1}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,OpenSource03/harnss,https://github.com/OpenSource03/harnss,0,0,27,0,0,0,6,0,9,12
4322096,1247,,"{""TypeScript"": 1230, ""Python"": 10, ""Shell"": 4, ""JavaScript"": 3}",CLAUDE.md;AGENTS.md,10,CLAUDE.md,lowcodejsorg/lowcodejs,https://github.com/lowcodejsorg/lowcodejs,0,0,81,0,0,0,5,63,6,7
2905680,642,,"{""TypeScript"": 609, ""SQL"": 26, ""Shell"": 5, ""Python"": 2}",CLAUDE.md,2,CLAUDE.md,bedwards/shield-stack,https://github.com/bedwards/shield-stack,0,0,52,7,0,0,18,0,20,7
147211,19,,"{""JavaScript"": 19}",CLAUDE.md,0,CLAUDE.md,ish-cs/ClearlaneAI,https://github.com/ish-cs/ClearlaneAI,0,0,1,0,0,0,0,0,0,1
35683,5,,"{""Python"": 5}",CLAUDE.md,5,CLAUDE.md,velikov-mihail/ai-econ-wiki,https://github.com/velikov-mihail/ai-econ-wiki,0,0,4,0,0,0,4,0,0,0
61114,16,,"{""TypeScript"": 15, ""JavaScript"": 1}",CLAUDE.md,0,CLAUDE.md,ChrisZHHG/devvalue,https://github.com/ChrisZHHG/devvalue,0,0,1,0,0,0,0,0,0,1
655356,164,,"{""Python"": 164}",CLAUDE.md,164,CLAUDE.md,fuchsblau/caracal,https://github.com/fuchsblau/caracal,0,0,81,9,0,0,0,53,14,5
220886,62,,"{""C#"": 62}",CLAUDE.md,0,CLAUDE.md,hyongok2/first-ai-agent,https://github.com/hyongok2/first-ai-agent,0,0,0,0,0,0,0,0,0,0
6626418,748,,"{""Python"": 474, ""TypeScript"": 245, ""JavaScript"": 12, ""SQL"": 12, ""Shell"": 5}",CLAUDE.md;AGENTS.md,474,CLAUDE.md,BitRaptors/Archie,https://github.com/BitRaptors/Archie,0,0,934,93,1,0,57,68,584,131
163773,30,,"{""TypeScript"": 30}",CLAUDE.md,0,CLAUDE.md,fangxm233/aistatus-typescript,https://github.com/fangxm233/aistatus-typescript,0,0,4,0,0,0,0,0,4,0
